miasto,data_ogloszenia,termin_skladania,liczba_stanowisk,stanowisko_docelowe,wymagania,link,i_etap_chetni,ii_etap_zdalo,zdawalnosc_pct,iv_etap,v_etap,wynagrodzenie_brutto,wynagrodzenie_netto,uwagi,udzial
Siemianowicach Śląskich,18.03.2026,10.04.2026,,starszy ratownik,,https://www.gov.pl/web/kmpsp-ruda-slaska/nabor-do-sluzby-w-psp,,,,,,,,,
Mysłowicach,18.03.2026,31.03.2026,,starszy ratownik - kierowca,,https://www.gov.pl/web/kmpsp-dabrowa-gornicza/warunki-postepowania-kwalifikacyjnego---nabor-do-sluzby-w-km-psp-dabrowa-gornicza-2026---starszy-ratownik-kierowca,,,,,,,,,
Cieszynie,11.03.2026,31.03.2026,,starszy ratownik - kierowca,,https://www.gov.pl/web/kmpsp-siemianowice-slaskie/warunki-postepowania-kwalifikacyjnego---nabor-do-sluzby-w-km-psp-siemianowice-slaskie---marzec-2026,,,,,,,,,
Pszczynie,02.03.2026,24.03.2026,,starszy specjalista,,https://www.gov.pl/web/kmpsp-myslowice/komenda-miejska-psp-w-myslowicach-oglasza-z-dniem-16032026-r-postepowanie-kwalifikacyjne-w-stosunku-do-kandydatowkandydatek-ubiegajacych-sie-o-przyjecie-do-sluzby-przygotowawczej-na-stanowisko-stazysta-docelowo-starszy-ratownik---kierowca-w-jednostce-ratowniczo-gasniczej-w-komendzie-miejskiej-panstwowej-strazy-pozarnej-w-myslowicach--termin-skladania-dokumentow-aplikacyjnych-uplywa-30032026-r,,,,,,,,,
Myszkowie,02.03.2026,16.03.2026,4,starszy ratownik w Jednostce Ratowniczo - Gaśniczej w Komendzie Miejskiej PSP w Katowicach - termin składania dokumentów aplikacyjnych upływa - 16.03.2026 r. Szczegółowe informacje znajdują się pod adresem: https://www.gov.pl/web/kmpsp-katowice/ogloszenie-o-naborze-ratownik Komenda Powiatowa PSP w Myszkowie ogłasza z dniem 02.03.2026r.postępowanie kwalifikacyjne w stosunku do kandydatów i kandydatek ubiegających się o przyjęcie do służby przygotowawczej na 4 stanowiska stażysta (docelowo starszy ratownik - kierowca,,https://www.gov.pl/web/kppsp-cieszyn/ogloszenie-o-naborze-do-sluzby-w-psp---11-03-2026,,,,,,,,,
Raciborzu,27.02.2026,18.03.2026,,,,https://www.gov.pl/web/kppsp-pszczyna/sluzba-i-praca,,,,,,,,,
Raciborzu,27.02.2026,13.03.2026,1,starszy ratownik,,https://www.gov.pl/web/kmpsp-katowice/ogloszenie-o-naborze-ratownik,,,,,,,,,
Tarnowskich Górach,2.02.2026,25.02.2026,,starszy operator sprzętu,,https://www.gov.pl/web/kppsp-myszkow/nabor-do-sluzby-w-kp-psp-w-myszkowie---starszy-ratownik-kierowca---marzec-2026,,,,,,,,,
Bytomiu,30.01.2026,02.03.2026,,starszy ratownik,,https://www.gov.pl/web/kppsp-raciborz/biezace-nabory,,,,,,,,,
Piekarach Śląskich,30.01.2026,13.02.2026,,/ starszy ratownik - kierowca,,https://www.gov.pl/web/kppsp-tarnowskie-gory/nabor-do-sluzby-i-pracy,,,,,,,,,
Żywcu,28.11.2025,13.02.2026,,starszy ratownik,,https://www.gov.pl/web/kmpsp-chorzow/ogloszenie-o-naborze-na-stanowisko-stazysty-w-jednostce-ratowniczo---gasniczej2,,,,,,,,,
Kłobucku,28.11.2025,19.01.2026,2,starszy ratownik,,https://www.gov.pl/web/kmpsp-bytom/nabor-do-sluzby-przygotowawczej-na-stanowisko-stazysty-docelowo--starszy-ratownik---kierowca3,,,,,,,,,
Tychach,27.11.2025,15.12.2025,,starszy ratownik-kierowca,,https://www.gov.pl/web/kmpsp-piekary-slaskie/nabor-do-sluzby-w-km-psp-piekary-slaskie---starszy-ratownik3,,,,,,,,,
Sosnowcu,27.11.2025,12.12.2025,,,,https://www.gov.pl/web/kppsp-zywiec/ogloszenie-o-naborze-do-sluzby-w-psp---28112025,,,,,,,,,
Zawierciu,24.11.2025,11.12.2025,,,,https://www.gov.pl/web/kppsp-klobuck/informacja-o-naborze2,,,,,,,,,
Gliwicach,20.11.2025,08.12.2025,,starszy ratownik – kierowca,,https://www.gov.pl/web/kmpsp-tychy/nabor-do-sluzby-i-pracy,,,,,,,,,
Będzinie,6.11.2025,03.12.2025,,starszy ratownik,,https://www.gov.pl/web/kppsp-zawiercie/nabor,,,,,,,,,
Będzinie,6.11.2025,21.11.2025,,starszy ratownik-kierowca,,https://www.gov.pl/web/kmpsp-gliwice/nabor-2025---starszy-ratownik---kierowca,,,,,,,,,
Dąbrowie Górniczej,6.11.2025,20.11.2025,,główny księgowy,,https://www.gov.pl/web/kmpsp-ruda-slaska/ogloszenie-o-naborze-do-sluzby-w-psp---19112025-r,,,,,,,,,
Żorach,17.10.2025,,,starszy ratownik-kierowca,,https://www.gov.pl/web/kppsp-bedzin/nabor-do-sluzby-przygotowawczej-na-stanowisko-stazysty-docelowo-starszy-ratownik,,,,,,,,,
Chorzowie,03.10.2025,31 października 2025,,starszy ratownik,,https://www.gov.pl/web/kppsp-bedzin/nabor-do-sluzby-przygotowawczej-na-stanowisko-stazysty-docelowo-starszy-ratownik--kierowca,,,,,,,,,
Bytomiu,15.09.2025,29.09.2025,,starszy ratownik,,https://www.gov.pl/web/kmpsp-zory/ogloszenie-o-postepowaniu-kwalifikacyjnym-17102025,,,,,,,,,
Wodzisławiu Śląskim,9.09.2025,,,starszy ratownik kierowca,,https://www.gov.pl/web/kmpsp-chorzow/ogloszenia-o-naborach-do-sluzby,,,,,,,,,
ZABRZU,13.08.2025,27.08.2025,,,,https://www.gov.pl/web/kmpsp-swietochlowice/nabor-starszy-ratownik-kierowca-2025,,,,,,,,,
Sosnowcu,26.05.2025,,,starszy operator sprzętu,,https://www.gov.pl/web/kmpsp-bytom/nabor-do-sluzby-przygotowawczej-na-stanowisko-stazysty-docelowo---starszy-ratownik,,,,,,,,,
Katowicach,08.05.2025,06.05.2025,,Główny księgowy,,https://www.gov.pl/web/kppsp-wodzislaw-slaski/nabor-do-sluzby,,,,,,,,,
Zabrzu,05.05.2025,21.05.2025,,starszy ratownik w Jednostce Ratowniczo - Gaśniczej w Komendzie Miejskiej PSP w Katowicach - termin składania dokumentów aplikacyjnych upływa - 21.05.2025 r. Szczegółowe informacje znajdują się pod adresem: https://www.gov.pl/web/kmpsp-katowice/ogloszenie-o-naborze-ratownik Ogłoszenie zamieszczone 05.05.2025 roku: Komenda Miejska PSP w Zabrzu ogłasza z dniem 05.05.2025r. postępowanie kwalifikacyjne w stosunku do kandydatów ubiegających się o przyjęcie do służby przygotowawczej na stanowisko stażysty (docelowo-starszy ratownik,,https://www.gov.pl/web/kmpsp-zabrze/warunki-postepowania-kwalifikacyjnego---nabor-na-zastepstwo-w-korpusie-sluzby-cywilnej-w-km-psp-w-zabrzu---starszy-ksiegowy,,,,,,,,,
Siemianowicach Śląskich,23.04.2025,19.05.2025,,,,https://www.gov.pl/web/kmpsp-sosnowiec/nabor-2025-maj,,,,,,,,,
Siemianowicach Śląskich,23.04.2025,09.05.2025,,starszy ratownik,,https://www.gov.pl/web/kppsp-mikolow/nabor---glowny-ksiegowy,,,,,,,,,
Dąbrowie Górniczej,14.04.2025,28.04.2025,,starszy ratownik - kierowca,,https://www.gov.pl/web/kmpsp-zabrze/warunki-postepowania-kwalifikacyjnego---nabor-do-sluzby-w-km-psp-w-zabrzu---starszy-ratownik,,,,,,,,,
Jastrzębiu-Zdroju,09.04.2025,,,starszy specjalista,,https://www.gov.pl/web/kmpsp-siemianowice-slaskie/warunki-postepowania-kwalifikacyjnego---nabor-do-sluzby-w-km-psp-siemianowice-slaskie---kwiecien-2025,,,,,,,,,
Zabrzu,01.04.2025,11.04.2025,,,,https://www.gov.pl/web/kppsp-lubliniec/warunki-postepowania-kwalifikacyjnego---nabor-do-sluzby-w-kp-psp-w-lublincu---starszy-ratownik-kierowca,,,,,,,,,
Żywcu,31.03.2025,,3,starszy ratownik-kierowca,,https://www.gov.pl/web/kmpsp-dabrowa-gornicza/warunki-postepowania-kwalifikacyjnego---nabor-do-sluzby-w-km-psp-dabrowa-gornicza---starszy-ratownik-kierowca2025,,,,,,,,,
CIESZYNIE,31.03.2025,14.04.2025,,starszy ratownik,,https://www.gov.pl/web/kmpsp-jastrzebie-zdroj/nabor-na-stanowisko-starszego-specjalisty,,,,,,,,,
Tychach,31.03.2025,14.04.2025,,starszy ratownik-kierowca i starszy ratownik,,https://www.gov.pl/web/kmpsp-zabrze/warunki-postepowania-kwalifikacyjnego---nabor-w-korpusie-sluzby-cywilnej-w-km-psp-w-zabrzu---glowny-ksiegowy,,,,,,,,,
Kłobucku,31.03.2025,14.04.2025,,starszy ratownik,,https://www.gov.pl/web/kppsp-zywiec/nabor-do-sluzby-w-psp,,,,,,,,,
Jastrzębiu-Zdroju-starszy,27.03.2025,10.04.2025,,starszy ratownik kierowca,,https://www.gov.pl/web/kmpsp-tychy/nabor-do-sluzby---starszy-ratownik,,,,,,,,,
,24.03.2025,,,,,https://www.gov.pl/web/kmpsp-tychy/nabor-do-sluzby---starszy-ratownik-kierowca,,,,,,,,,
Bytomiu,24.03.2025,07.04.2025,,/ starszy ratownik - kierowca,,https://www.gov.pl/web/kmpsp-bielsko-biala/ogloszenie-o-naborze-do-sluzby-w-psp---31032025r,,,,,,,,,
Raciborzu,13.03.2025,26.03.2025,1,główny księgowy,,https://www.gov.pl/web/kppsp-klobuck/informacja-o-naborze,,,,,,,,,
Tarnowskich Górach,04.03.2025,24.03.2025,,starszy operator sprzętu,,https://www.gov.pl/web/kppsp-cieszyn/ogloszenie-o-naborze-do-sluzby-w-psp-31-03-2025,,,,,,,,,
Mikołowie,03.02.2025,,,starszy ratownik-kierowca,,https://www.gov.pl/web/kmpsp-bytom/nabor-do-sluzby-przygotowawczej-na-stanowisko-stazysty-docelowo--starszy-ratownik---kierowca2,,,,,,,,,
Mikołowie,03.02.2025,,,starszy ratownik-kierowca,,https://www.gov.pl/web/kppsp-bedzin/nabor-do-sluzby-przygotowawczej-na-stanowisko-stazysty-docelowo-starszy-ratownik---kierowca,,,,,,,,,
,03.02.2025,,,,,https://www.gov.pl/web/kppsp-mikolow/nabory2,,,,,,,,,
